TransactionID,Date,Product,Category,Quantity,UnitPrice_FCFA,TotalSale_FCFA,PaymentMethod,SalesRep,CustomerType
NKW-0001,2026-02-07,Rice 50kg,Grains,1.0,34928.0,34928.0,Bank Transfer,Divine K.,Walk-in
NKW-0002,2026-04-13,Onions 1kg,Produce,12.0,685.0,8220.0,Mobile Money,Florence A.,Wholesale
NKW-0003,2026-04-11,Salt 1kg,Groceries,11.0,297.0,3267.0,Orange Money,Beatrice T.,Walk-in
NKW-0004,2026-01-01,Bread (loaf),Bakery,13.0,591.0,7683.0,Bank Transfer,Divine K.,Wholesale
NKW-0005,2026-02-14,Beans (White),Grain,6.0,915.0,5490.0,Mobile Money,Beatrice T.,Walk-in
NKW-0006,2026-03-09,Rice 25kg,Grains,,17880.0,35760.0,Bank Transfer,Florence A.,Walk-in
NKW-0007,2026-01-14,Bread (loaf),Bakery,19.0,614.0,11666.0,Orange Money,Florence A.,Walk-in
NKW-0008,2026-03-11,Rice 50kg,Grains,4.0,37414.0,149656.0,Bank Transfer,Ernest M.,Wholesale
NKW-0009,2026-06-26,Palm Oil 1L,Oils,15.0,1394.0,20910.0,Cash,Divine K.,Wholesale
NKW-0010,2026-01-05,Tomatoes 1kg,Produce,8.0,781.0,6248.0,Cash,Florence A.,Walk-in
NKW-0011,2026-06-24,Tomatoes 1kg,Produce,8.0,812.0,6496.0,Mobile Money,Beatrice T.,Wholesale
NKW-0012,2026-03-12,Rice 50kg,Grains,13.0,34389.0,447057.0,Bank Transfer,Achu N.,Wholesale
NKW-0013,2026-02-10,Palm Oil 5L,Oils,14.0,6844.0,95816.0,Bank Transfer,Divine K.,Walk-in
NKW-0014,2026-01-06,Beans (White),Grain,11.0,826.0,9086.0,Bank Transfer,Divine K.,Walk-in
NKW-0015,2026-03-16,Rice 50kg,Grains,15.0,37084.0,556260.0,Orange Money,Ernest M.,Walk-in
NKW-0016,2026-05-07,Rice 50kg,Grains,13.0,34245.0,445185.0,Bank Transfer,Florence A.,Walk-in
NKW-0017,2026-01-07,Tomato Paste (tin),Groceries,16.0,378.0,6048.0,Orange Money,Ernest M.,Wholesale
NKW-0018,2026-04-29,Salt 1kg,Groceries,17.0,300.0,5100.0,Cash,Achu N.,Walk-in
NKW-0019,2026-04-15,Detergent 1kg,Household,4.0,1835.0,7340.0,Mobile Money,Ernest M.,Walk-in
NKW-0020,2026-01-14,Beans (Red),Grains,9.0,899.0,8091.0,Cash,Achu N.,Walk-in
NKW-0021,2026-04-01,Tomatoes 1kg,Produce,8.0,826.0,6608.0,Orange Money,Beatrice T.,Walk-in
NKW-0022,2026-02-01,Matches (box),Household,5.0,106.0,530.0,Bank Transfer,Beatrice T.,Wholesale
NKW-0023,2026-05-20,Beans (Red),Grains,19.0,932.0,17708.0,Mobile Money,Divine K.,Walk-in
NKW-0024,2026-04-17,Cassava (bag),Produce,20.0,4110.0,82200.0,Mobile Money,Florence A.,Wholesale
NKW-0025,2026-01-21,Sugar 1kg,Groceres,12.0,734.0,8808.0,Orange Money,Achu N.,Walk-in
NKW-0026,2026-05-21,Maggi Cubes (pack),Groceries,,483.0,9177.0,Bank Transfer,Divine K.,Walk-in
NKW-0027,2026-04-15,Cassava (bag),Produce,3.0,3917.0,11751.0,Cash,Ernest M.,Walk-in
NKW-0028,2026-05-21,Bread (loaf),Bakery,1.0,594.0,594.0,Mobile Money,Ernest M.,Walk-in
NKW-0029,2026-06-29,Tomatoes 1kg,Produce,9.0,818.0,7362.0,Mobile Money,Achu N.,Walk-in
NKW-0030,2026-02-12,Cassava (bag),Produce,,3950.0,63200.0,Mobile Money,Divine K.,Wholesale
NKW-0031,2026-04-06,Palm Oil 1L,Oils,5.0,1466.0,7330.0,Orange Money,Achu N.,Walk-in
NKW-0032,2026-02-20,Tomatoes 1kg,Produce,15.0,822.0,12330.0,Bank Transfer,Achu N.,Walk-in
NKW-0033,2026-06-29,Palm Oil 1L,Oils,4.0,1400.0,5600.0,Cash,Ernest M.,Walk-in
NKW-0034,2026-06-11,Bread (loaf),Bakery,6.0,585.0,3510.0,Bank Transfer,Ernest M.,Walk-in
NKW-0035,2026-03-10,Detergent 1kg,Household,15.0,1768.0,26520.0,Cash,Achu N.,Walk-in
NKW-0036,2026-03-13,Maggi Cubes (pack),Groceries,16.0,531.0,8496.0,Cash,Beatrice T.,Walk-in
NKW-0037,2026-04-26,Palm Oil 1L,Oils,3.0,1475.0,4425.0,Cash,Divine K.,Walk-in
NKW-0038,2026-04-06,Rice 50kg,Grain,9.0,,334566.0,Orange Money,Achu N.,Walk-in
NKW-0039,2026-06-17,Cassava (bag),Produce,14.0,3917.0,54838.0,Mobile Money,Ernest M.,Walk-in
NKW-0040,2026-02-10,Vegetable Oil 5L,Oils,16.0,7772.0,124352.0,Bank Transfer,Ernest M.,Walk-in
NKW-0041,2026-02-20,Beans (Red),Grains,18.0,887.0,15966.0,Orange Money,Florence A.,Walk-in
NKW-0042,2026-03-13,Vegetable Oil 5L,Oils,3.0,7380.0,22140.0,Mobile Money,Divine K.,Walk-in
NKW-0043,2026-03-21,Beans (White),Grains,19.0,,16758.0,Bank Transfer,Ernest M.,Walk-in
NKW-0044,2026-05-24,Bread (loaf),Bakery,17.0,621.0,10557.0,Bank Transfer,Ernest M.,Wholesale
NKW-0045,2026-03-04,Detergent 1kg,Household,2.0,1804.0,3608.0,Mobile Money,Florence A.,Walk-in
NKW-0046,2026-04-29,Cassava (bag),Produce,14.0,3828.0,53592.0,Orange Money,,Wholesale
NKW-0047,2026-04-28,Tomato Paste (tin),Groceries,18.0,348.0,6264.0,Orange Money,Divine K.,Wholesale
NKW-0048,2026-03-18,Sugar 1kg,Groceres,15.0,720.0,10800.0,Cash,Beatrice T.,Wholesale
NKW-0049,2026-01-11,Tomato Paste (tin),Groceries,15.0,335.0,5025.0,Bank Transfer,Ernest M.,Wholesale
NKW-0050,2026-05-26,Onions 1kg,Produce,2.0,705.0,1410.0,Mobile Money,Beatrice T.,Walk-in
NKW-0051,2026-01-23,Tomato Paste (tin),Groceries,13.0,358.0,4654.0,Orange Money,Divine K.,Wholesale
NKW-0052,2026-01-31,Plantain (bunch),Produce,13.0,2547.0,33111.0,Bank Transfer,Achu N.,Walk-in
NKW-0053,2026-02-25,Beans (Red),Grain,14.0,952.0,13328.0,Bank Transfer,Divine K.,Walk-in
NKW-0054,2026-02-18,Rice 50kg,Grains,1.0,35760.0,35760.0,Bank Transfer,Beatrice T.,Wholesale
NKW-0055,2026-04-22,Sugar 1kg,Groceries,4.0,757.0,3028.0,Cash,Divine K.,Walk-in
NKW-0056,2026-04-05,Palm Oil 1L,Oils,13.0,1397.0,18161.0,Bank Transfer,Achu N.,Walk-in
NKW-0057,2026-05-22,Milk Powder 400g,Dairy,4.0,2919.0,11676.0,Cash,Divine K.,Walk-in
NKW-0058,2026-05-31,Tomatoes 1kg,Produce,8.0,785.0,6280.0,Mobile Money,,Walk-in
NKW-0059,2026-04-26,Detergent 1kg,Household,19.0,1863.0,35397.0,Orange Money,Florence A.,Wholesale
NKW-0060,2026-04-06,Tomato Paste (tin),Groceries,5.0,364.0,1820.0,Bank Transfer,Achu N.,Walk-in
NKW-0061,2026-04-02,Tomato Paste (tin),Groceres,7.0,340.0,2380.0,,Achu N.,Walk-in
NKW-0062,2026-01-21,Tomato Paste (tin),Groceries,11.0,363.0,3993.0,Orange Money,Ernest M.,Wholesale
NKW-0063,2026-04-14,Rice 50kg,Grains,13.0,35466.0,461058.0,Bank Transfer,Achu N.,Walk-in
NKW-0064,2026-03-09,Detergent 1kg,House hold,8.0,1906.0,15248.0,Cash,Beatrice T.,Walk-in
NKW-0065,2026-06-17,Sugar 1kg,Groceries,1.0,800.0,800.0,Cash,Ernest M.,Walk-in
NKW-0066,2026-04-16,Vegetable Oil 5L,Oils,17.0,7565.0,128605.0,Bank Transfer,Achu N.,Walk-in
NKW-0067,2026-03-24,Palm Oil 1L,Oils,2.0,1334.0,2668.0,Mobile Money,Achu N.,Walk-in
NKW-0068,2026-05-02,Milk Powder 400g,Dairy,4.0,2819.0,11276.0,Bank Transfer,Divine K.,Walk-in
NKW-0069,2026-05-28,Soap (bar),Household,13.0,402.0,5226.0,Bank Transfer,Florence A.,Walk-in
NKW-0070,2026-05-10,Beans (Red),Grains,13.0,871.0,11323.0,Cash,Beatrice T.,Walk-in
NKW-0071,2026-05-09,Rice 50kg,Grains,10.0,34806.0,348060.0,Orange Money,Florence A.,Walk-in
NKW-0072,2026-04-24,Sugar 1kg,Groceries,18.0,722.0,12996.0,Cash,Achu N.,Walk-in
NKW-0073,2026-06-21,Maggi Cubes (pack),Groceres,12.0,503.0,6036.0,Bank Transfer,Achu N.,Walk-in
NKW-0074,2026-03-26,Milk Powder 400g,Dairy,4.0,3017.0,12068.0,Orange Money,Achu N.,Wholesale
NKW-0075,2026-04-15,Palm Oil 1L,Oils,16.0,1418.0,22688.0,Bank Transfer,Achu N.,Walk-in
NKW-0076,2026-01-17,Beans (Red),Grains,7.0,961.0,6727.0,Bank Transfer,Beatrice T.,Walk-in
NKW-0077,2026-04-28,Vegetable Oil 5L,Oils,12.0,7126.0,85512.0,Mobile Money,Beatrice T.,Walk-in
NKW-0078,2026-03-10,Vegetable Oil 5L,Oils,14.0,7320.0,102480.0,Cash,Ernest M.,Walk-in
NKW-0079,2026-04-13,Milk Powder 400g,Dairy,5.0,2937.0,14685.0,Cash,Divine K.,Walk-in
NKW-0080,2026-05-27,Maggi Cubes (pack),Groceries,18.0,500.0,9000.0,Bank Transfer,Divine K.,Walk-in
NKW-0081,2026-05-05,Tomato Paste (tin),Groceries,7.0,349.0,2443.0,Orange Money,Divine K.,Walk-in
NKW-0082,2026-04-09,Soap (bar),Household,19.0,390.0,7410.0,Cash,Ernest M.,Walk-in
NKW-0083,2026-01-04,Rice 25kg,Grain,1.0,18848.0,18848.0,Orange Money,Florence A.,Walk-in
NKW-0084,2026-02-20,Cassava (bag),Produce,18.0,4018.0,72324.0,Bank Transfer,Florence A.,Walk-in
NKW-0085,2026-05-10,Beans (White),Grains,10.0,881.0,8810.0,Orange Money,Ernest M.,Walk-in
NKW-0086,2026-05-29,Sugar 1kg,Groceries,11.0,726.0,7986.0,Orange Money,Florence A.,Walk-in
NKW-0087,2026-01-20,Salt 1kg,Groceries,13.0,299.0,3887.0,Mobile Money,Achu N.,Walk-in
NKW-0088,2026-01-27,Tomato Paste (tin),Groceries,3.0,348.0,1044.0,Bank Transfer,Beatrice T.,Walk-in
NKW-0089,2026-04-23,Onions 1kg,Produce,15.0,735.0,11025.0,Bank Transfer,Florence A.,Wholesale
NKW-0090,2026-05-05,Soap (bar),Household,8.0,394.0,3152.0,Bank Transfer,Achu N.,Wholesale
NKW-0091,2026-01-22,Palm Oil 1L,Oils,16.0,1484.0,23744.0,Orange Money,Florence A.,Walk-in
NKW-0092,2026-02-04,Beans (White),Grain,9.0,888.0,7992.0,Bank Transfer,Divine K.,Walk-in
NKW-0093,2026-01-02,Palm Oil 5L,Oils,14.0,6195.0,86730.0,Orange Money,Achu N.,Walk-in
NKW-0094,2026-04-27,Matches (box),Household,18.0,97.0,1746.0,Mobile Money,Florence A.,Walk-in
NKW-0095,2026-05-02,Sugar 1kg,Groceries,4.0,767.0,3068.0,Mobile Money,Ernest M.,Walk-in
NKW-0096,2026-03-19,Beans (White),Grains,6.0,825.0,4950.0,Mobile Money,Divine K.,Walk-in
NKW-0097,2026-05-28,Onions 1kg,Produce,16.0,687.0,10992.0,Bank Transfer,Ernest M.,Walk-in
NKW-0098,2026-03-11,Rice 25kg,Grains,10.0,19791.0,197910.0,Orange Money,Achu N.,Walk-in
NKW-0099,2026-01-13,Sugar 1kg,Groceries,13.0,768.0,9984.0,Bank Transfer,Beatrice T.,Walk-in
NKW-0100,2026-01-11,Onions 1kg,Produce,1.0,672.0,672.0,Orange Money,Beatrice T.,Wholesale
NKW-0101,2026-03-06,Maggi Cubes (pack),Groceries,5.0,521.0,2605.0,Bank Transfer,Achu N.,Wholesale
NKW-0102,2026-03-20,Beans (White),Grains,4.0,828.0,3312.0,Mobile Money,Florence A.,Wholesale
NKW-0103,2026-01-11,Tomatoes 1kg,Produce,14.0,836.0,11704.0,Orange Money,Achu N.,Walk-in
NKW-0104,2026-02-15,Soap (bar),Household,11.0,421.0,4631.0,Bank Transfer,Beatrice T.,Walk-in
NKW-0105,2026-01-01,Milk Powder 400g,Dairy,14.0,2692.0,37688.0,Bank Transfer,Beatrice T.,Walk-in
NKW-0106,2026-04-07,Detergent 1kg,House hold,3.0,1870.0,5610.0,Mobile Money,Divine K.,Walk-in
